user_id,login_id,event_timestamp
f5c3dd7514bf620a1b85450d2ae374b1,2058306,2020-01-02 19:03:56.737
f5c3dd7514bf620a1b85450d2ae374b1,2058309,2020-01-02 19:55:30.185
f442d33fa06832082290ad8544a8da27,2058299,2020-01-02 18:46:28.086
f5c3dd7514bf620a1b85450d2ae374b1,2058302,2020-01-02 18:50:58.681
f442d33fa06832082290ad8544a8da27,2058314,2020-01-02 23:30:54.959
f5c3dd7514bf620a1b85450d2ae374b1,2058300,2020-01-02 18:47:00.807
f5c3dd7514bf620a1b85450d2ae374b1,2058304,2020-01-02 18:53:51.792
26505e0494662534f633586941b77d0c,2058294,2020-01-02 18:05:02.008
f442d33fa06832082290ad8544a8da27,2058298,2020-01-02 18:40:33.568
f5c3dd7514bf620a1b85450d2ae374b1,2058301,2020-01-02 18:48:30.052
95f8d9901ca8878e291552f001f67692,2058351,2020-01-06 19:23:08.543
95f8d9901ca8878e291552f001f67692,2058361,2020-01-06 19:28:08.846
dc58e3a306451c9d670adcd37004f48f,2058370,2020-01-06 22:36:42.273
95f8d9901ca8878e291552f001f67692,2058373,2020-01-06 23:03:03.158
95f8d9901ca8878e291552f001f67692,2058395,2020-01-07 02:37:18.778
95f8d9901ca8878e291552f001f67692,2058431,2020-01-07 22:03:10.413
dc58e3a306451c9d670adcd37004f48f,2058391,2020-01-07 02:28:45.812
dc58e3a306451c9d670adcd37004f48f,2058386,2020-01-07 02:20:56.1
dc58e3a306451c9d670adcd37004f48f,2058393,2020-01-07 02:34:49.363
dc58e3a306451c9d670adcd37004f48f,2058385,2020-01-07 02:19:13.887
95f8d9901ca8878e291552f001f67692,2058405,2020-01-07 18:39:48.268
26751be1181460baf78db8d5eb7aad39,2058437,2020-01-07 22:43:34.472
0f46c64b74a6c964c674853a89796c8e,2058578,2020-01-08 23:28:54.452
95f8d9901ca8878e291552f001f67692,2058568,2020-01-08 22:03:37.543
0f46c64b74a6c964c674853a89796c8e,2058583,2020-01-08 23:31:22.744
fe40fb944ee700392ed51bfe84dd4e3d,2058504,2020-01-08 16:58:59.448
01894d6f048493d2cacde3c579c315a3,2058548,2020-01-08 21:30:13.725
6150ccc6069bea6b5716254057a194ef,2058485,2020-01-08 02:06:14.822
47810f956e3d8fb8a32fb276448b464d,2058612,2020-01-09 15:14:13.085
d6bcb486f72ae7b5dc68b5b7df7ec887,2058589,2020-01-09 02:21:00.578
c5b2cebf15b205503560c4e8e6d1ea78,2058663,2020-01-09 22:47:41.387
01894d6f048493d2cacde3c579c315a3,2058618,2020-01-09 18:40:41.518
95f8d9901ca8878e291552f001f67692,2058682,2020-01-10 17:16:57.661
95f8d9901ca8878e291552f001f67692,2058713,2020-01-10 19:28:00.075
c8fbbc86abe8bd6a5eb6a3b4d0411301,2058689,2020-01-10 18:25:23.293
